id,user_id,question_group_id,score,time,is_done,nb_mistakes,time_seconds,stars,total_time,validated_at,attempt_mistakes,global_mistakes,created_at,updated_at
1419113,239645,2969,3,11,true,0,11,3,11,2024-10-18 18:05:31,0,0,2024-10-18 18:05:31,2024-10-18 18:05:31
1419126,239645,2970,0,6,false,0,6,0,6,,0,0,2024-10-18 18:07:05,2024-10-18 18:07:05
1419130,239645,2971,0,6,false,0,6,0,6,,0,0,2024-10-18 18:07:16,2024-10-18 18:07:16
1419160,239645,2970,2,30,true,1,24,1,30,2024-10-18 18:09:58,1,1,2024-10-18 18:09:58,2024-10-18 18:09:58
1419168,239645,2971,1,40,true,1,34,2,40,2024-10-18 18:10:39,1,1,2024-10-18 18:10:39,2024-10-18 18:10:39
1419177,239645,2972,2,9,true,0,9,3,9,2024-10-18 18:11:30,0,0,2024-10-18 18:11:30,2024-10-18 18:11:30
1419191,239645,2973,0,37,false,4,37,0,37,,4,4,2024-10-18 18:12:21,2024-10-18 18:12:21
1419250,239645,2974,0,199,false,3,199,0,199,,3,3,2024-10-18 18:17:57,2024-10-18 18:17:57
1419565,239645,2977,0,376,false,3,376,0,376,,3,3,2024-10-18 18:39:20,2024-10-18 18:39:20
1419574,239645,2976,1,46,true,0,46,3,46,2024-10-18 18:40:13,0,0,2024-10-18 18:40:13,2024-10-18 18:40:13
1419602,239645,2978,0,10,false,0,10,0,10,,0,0,2024-10-18 18:42:37,2024-10-18 18:42:37
1419858,239645,3315,2,21,true,0,21,3,21,2024-10-18 18:54:51,0,0,2024-10-18 18:54:51,2024-10-18 18:54:51
1419997,239645,3316,1,457,true,0,457,3,457,2024-10-18 19:02:47,0,0,2024-10-18 19:02:47,2024-10-18 19:02:47
1420059,239645,3317,2,199,true,0,199,3,199,2024-10-18 19:06:42,0,0,2024-10-18 19:06:42,2024-10-18 19:06:42
1420076,239645,3318,1,26,true,0,26,3,26,2024-10-18 19:07:33,0,0,2024-10-18 19:07:33,2024-10-18 19:07:33
1420297,239645,3319,0,27,false,0,27,0,27,,0,0,2024-10-18 19:17:51,2024-10-18 19:17:51
1420303,239645,3320,1,7,true,0,7,3,7,2024-10-18 19:18:08,0,0,2024-10-18 19:18:08,2024-10-18 19:18:08
1420340,239645,3321,0,99,false,3,99,0,99,,3,3,2024-10-18 19:19:59,2024-10-18 19:19:59
1420354,239645,3323,0,30,false,0,30,0,30,,0,0,2024-10-18 19:20:30,2024-10-18 19:20:30
1420668,239645,25,0,50,false,3,50,0,50,,3,3,2024-10-18 19:37:13,2024-10-18 19:37:13
1420691,239645,37,0,23,false,0,23,0,23,,0,0,2024-10-18 19:38:53,2024-10-18 19:38:53
1420703,239645,37,3,43,true,0,20,3,43,2024-10-18 19:40:15,0,0,2024-10-18 19:40:15,2024-10-18 19:40:15
1420715,239645,16,1,45,true,0,45,3,45,2024-10-18 19:41:06,0,0,2024-10-18 19:41:06,2024-10-18 19:41:06
1420735,239645,28,0,26,false,1,26,0,26,,1,1,2024-10-18 19:42:50,2024-10-18 19:42:50
1420996,239645,3321,1,239,true,4,140,1,239,2024-10-18 20:02:51,1,4,2024-10-18 20:02:51,2024-10-18 20:02:51
1421024,239645,3323,5,37,true,0,7,2,37,2024-10-18 20:05:03,0,0,2024-10-18 20:05:03,2024-10-18 20:05:03
1421057,239645,3324,1,117,true,1,117,2,117,2024-10-18 20:07:07,1,1,2024-10-18 20:07:07,2024-10-18 20:07:07
1421078,239645,3325,4,9,true,0,9,3,9,2024-10-18 20:08:39,0,0,2024-10-18 20:08:39,2024-10-18 20:08:39
1421081,239645,3326,1,7,true,0,7,3,7,2024-10-18 20:08:57,0,0,2024-10-18 20:08:57,2024-10-18 20:08:57
1426968,239645,3328,3,29,true,0,29,2,29,2024-10-19 17:49:28,0,0,2024-10-19 17:49:28,2024-10-19 17:49:28
1574193,239645,9118,3,63,true,0,20,2,20,2024-09-14 16:46:20,0,0,2024-11-06 20:56:05,2024-11-06 20:56:05
1574412,239645,9118,3,73,true,0,30,2,30,2024-09-14 16:46:20,0,0,2024-11-06 21:02:23,2024-11-06 21:02:23
1574413,239645,3108,3,36,true,1,36,2,36,2024-11-06 21:02:23,1,1,2024-11-06 21:02:23,2024-11-06 21:02:23
1574427,239645,3109,0,30,false,0,30,0,30,,0,0,2024-11-06 21:02:58,2024-11-06 21:02:58
1574681,239645,3868,0,10,false,0,10,0,10,,0,0,2024-11-06 21:13:56,2024-11-06 21:13:56
1586928,239645,37,3,48,true,0,5,3,5,2024-10-18 19:40:15,0,0,2024-11-07 19:12:00,2024-11-07 19:12:00
1587030,239645,37,3,47,true,0,4,3,4,2024-10-18 19:40:15,0,0,2024-11-07 19:14:29,2024-11-07 19:14:29
1587042,239645,25,2,157,true,7,8,1,157,2024-11-07 19:14:46,0,7,2024-11-07 19:14:46,2024-11-07 19:14:46
1587096,239645,37,3,78,true,0,35,3,35,2024-10-18 19:40:15,0,0,2024-11-07 19:16:23,2024-11-07 19:16:23
1587133,239645,16,1,99,true,0,54,3,54,2024-10-18 19:41:06,0,0,2024-11-07 19:17:21,2024-11-07 19:17:21
1587198,239645,28,2,81,true,5,55,1,81,2024-11-07 19:19:07,4,5,2024-11-07 19:19:07,2024-11-07 19:19:07
1587218,239645,23,1,36,true,0,36,3,36,2024-11-07 19:19:49,0,0,2024-11-07 19:19:49,2024-11-07 19:19:49
1587493,239645,15,0,368,false,3,368,0,368,,3,3,2024-11-07 19:26:25,2024-11-07 19:26:25
1587500,239645,27,0,9,false,0,9,0,9,,0,0,2024-11-07 19:26:34,2024-11-07 19:26:34
1587513,239645,15,1,378,true,3,10,1,378,2024-11-07 19:26:53,0,3,2024-11-07 19:26:53,2024-11-07 19:26:53
1587651,239645,27,1,185,true,0,176,3,185,2024-11-07 19:30:01,0,0,2024-11-07 19:30:02,2024-11-07 19:30:02
1587901,239645,31,2,220,true,0,220,3,220,2024-11-07 19:35:28,0,0,2024-11-07 19:35:28,2024-11-07 19:35:28
1588458,239645,32,4,26,true,0,26,2,26,2024-11-07 19:48:59,0,0,2024-11-07 19:49:00,2024-11-07 19:49:00
1588638,239645,11,2,38,true,0,38,2,38,2024-11-07 19:55:01,0,0,2024-11-07 19:55:01,2024-11-07 19:55:01
1588643,239645,13,0,9,false,0,9,0,9,,0,0,2024-11-07 19:55:10,2024-11-07 19:55:10
1588662,239645,13,1,43,true,0,34,3,43,2024-11-07 19:56:11,0,0,2024-11-07 19:56:11,2024-11-07 19:56:11
1588688,239645,34,1,23,true,0,23,3,23,2024-11-07 19:57:14,0,0,2024-11-07 19:57:14,2024-11-07 19:57:14
1589023,239645,3861,3,16,true,0,16,2,16,2024-11-07 20:07:46,0,0,2024-11-07 20:07:46,2024-11-07 20:07:46
1589097,239645,3862,2,135,true,0,135,2,135,2024-11-07 20:10:35,0,0,2024-11-07 20:10:35,2024-11-07 20:10:35
1589161,239645,3863,2,16,true,0,16,2,16,2024-11-07 20:12:58,0,0,2024-11-07 20:12:58,2024-11-07 20:12:58
1589177,239645,3864,1,12,true,0,12,3,12,2024-11-07 20:13:26,0,0,2024-11-07 20:13:26,2024-11-07 20:13:26
1589185,239645,3865,1,8,true,0,8,3,8,2024-11-07 20:13:52,0,0,2024-11-07 20:13:52,2024-11-07 20:13:52
1589418,239645,3866,0,110,false,1,110,0,110,,1,1,2024-11-07 20:22:34,2024-11-07 20:22:34
1589501,239645,3867,0,3,false,0,3,0,3,,0,0,2024-11-07 20:25:42,2024-11-07 20:25:42
1589503,239645,3869,0,5,false,0,5,0,5,,0,0,2024-11-07 20:25:54,2024-11-07 20:25:54
1589575,239645,3867,4,76,true,4,16,1,76,2024-11-07 20:29:27,1,4,2024-11-07 20:29:27,2024-11-07 20:29:27
1589603,239645,3868,4,41,true,0,17,3,41,2024-11-07 20:31:15,0,0,2024-11-07 20:31:15,2024-11-07 20:31:15
1589654,239645,3870,0,5,false,0,5,0,5,,0,0,2024-11-07 20:33:38,2024-11-07 20:33:38
1589659,239645,3869,1,142,true,6,8,1,142,2024-11-07 20:33:53,0,6,2024-11-07 20:33:53,2024-11-07 20:33:53
1589722,239645,3870,4,36,true,2,31,1,36,2024-11-07 20:36:52,2,2,2024-11-07 20:36:52,2024-11-07 20:36:52
1589753,239645,3871,6,4,true,0,4,3,4,2024-11-07 20:38:31,0,0,2024-11-07 20:38:31,2024-11-07 20:38:31
1589767,239645,3873,5,6,true,0,6,2,6,2024-11-07 20:39:33,0,0,2024-11-07 20:39:33,2024-11-07 20:39:33
1589801,239645,3872,0,53,false,1,53,0,53,,1,1,2024-11-07 20:40:34,2024-11-07 20:40:34
1693372,239645,3878,3,8,true,1,8,2,8,2024-11-10 16:20:26,1,1,2024-11-10 16:20:26,2024-11-10 16:20:26
1693424,239645,3879,2,36,true,0,36,2,36,2024-11-10 16:21:36,0,0,2024-11-10 16:21:36,2024-11-10 16:21:36
1693461,239645,3880,2,9,true,0,9,3,9,2024-11-10 16:22:06,0,0,2024-11-10 16:22:06,2024-11-10 16:22:06
1693519,239645,3881,2,28,true,0,28,2,28,2024-11-10 16:23:03,0,0,2024-11-10 16:23:03,2024-11-10 16:23:03
1693563,239645,3882,1,15,true,0,15,3,15,2024-11-10 16:23:32,0,0,2024-11-10 16:23:32,2024-11-10 16:23:32
1693658,239645,3883,1,72,true,0,72,3,72,2024-11-10 16:24:53,0,0,2024-11-10 16:24:53,2024-11-10 16:24:53
1693809,239645,3884,5,16,true,0,16,2,16,2024-11-10 16:26:55,0,0,2024-11-10 16:26:55,2024-11-10 16:26:55
1693842,239645,3885,1,17,true,0,17,3,17,2024-11-10 16:27:22,0,0,2024-11-10 16:27:22,2024-11-10 16:27:22
1693981,239645,3886,3,59,true,0,59,3,59,2024-11-10 16:29:20,0,0,2024-11-10 16:29:20,2024-11-10 16:29:20
1694120,239645,3887,3,19,true,0,19,3,19,2024-11-10 16:30:49,0,0,2024-11-10 16:30:49,2024-11-10 16:30:49
1696568,239645,3888,1,68,true,0,68,3,68,2024-11-10 17:03:32,0,0,2024-11-10 17:03:32,2024-11-10 17:03:32
